authors,weights
David Edward Tabachnick,1280000
David Everett,41700000
David Fasold,2560000
David Feherty,310000
David Fincher,29300000
David Finkel,8110000
David Fleming,38700000
David Foot,429000000
David Foster Wallace,18200000
David Frawley,3860000
David French (political commentator),7090000
David Friedman,61000000
David Frost,73300000
David Frum,6520000
David Frye,15600000
David G. Haskell,6580000
David Garrick,8660000
David Gewirtz,1450000
David Gilmour,12400000
David Goldblatt,3150000
David Goodstein,5340000
David Gross,261000000
David Guterson,464000
David H. C. Read,34500000
David H. Rosenbloom,2330000
David Hartley (philosopher),4570000
David Harvey,123000000
David Hawkes (sinologist),48500
David Haye,93900000
David Helvarg,115000
David Henrie,6540000
David Henry Hwang,6170000
David Hilbert,8780000
David Hockney,6520000
David Horowitz,13000000
David Hull,49200000
David I. Walsh,95400000
David Icke,7770000
David Jenkins (bishop),10200000
"David Jewett Waller, Sr.",2730000
David John Malloy,6470000
David John Walkowiak,5230000
David Kabua,1900000
David Korten,641000
David Kurten,1220000
David L. Norton,47700000
David Lack,620000000
David Laidler,6930000
David Lane (white nationalist),4060000
David Lee,1080000000
David Letterman,27700000
David Lin,271000000
David Livingstone,14200000
David Lloyd George,46700000
David Lodge,43400000
David Low (cartoonist),2300000
David Luban,3060000
David Lynch,96000000
David Mabuza,3910000
David Mamet,4320000
David Manners,371000000
David Maraga,344000
David Marr,9790000
David McCullough,16500000
David McNally (professor),5620000
David Mellor,7630000
David Miedzianik,523
David Miller (sociologist),3150000
David Mitchell (author),104000000
David Morrison,67200000
David Mumford,12300000
David Mushet,256000
David Myatt,5740000
David Nemer,4980000
David Noel Freedman,6300000
David Norris,53000000
David O. McKay,23600000
David Ogilvy,6710000
David Oistrakh,739000
David Orrell,3530000
David Ortiz,91600000
David P. Norton,40500000
David Packard,16000000
David Pearce (philosopher),5090000
David Petraeus,1960000
David Prowse,6190000
David Rains Wallace,12200000
David Rakoff,5780000
David Ramsay (historian),4660000
David Reich (geneticist),5420000
David Revoy,5290000
David Ricardo,138000000
David Riesman,696000
David Rockefeller,19700000
David Rosen (rabbi),5820000
David Sedaris,2910000
David Seth Doggett,1330000
David Silverman,19200000
David Sirota,4670000
David Spade,21400000
David Starkey,10900000
David Starr Jordan,13300000
David Suzuki,53900000
David Thomas (born 1813),6870000
David W. Blight,5590000
David W. Oxtoby,722000
David W. Panuelo,1750000
David Walker (abolitionist),1540000
David Walton,36800000
David Warsh,926000
David Weber,101000000
David Weinberger,9700000
David Wenzel,11500000
David Woodard,14200000
David Wright (baseball),16700000
David Wu,214000000
David Yezzi,5000000
David Zabriskie,3540000
David Zayas,5640000
David Zindell,259000
Dawn (newspaper),597000000
Dawn Butler,24600000
Dawn Richard,83900000
Dawud Wharnsby,212000
Day,25640000000
De Broglie–Bohm theory,335000
De Lacy O'Leary,3650000
Deafness,32800000
Dean Acheson,4590000
Dean Bakopoulos,135000
Dean Kamen,8030000
Dean Martin,172000000
Dean Ornish,748000
Dean Spade,14600000
Dean Winslow,14700000
Deane Montgomery,7720000
Death in Venice,43500000
Death of God theology,35100000
Death to America,1740000000
Debate,2070000000
Debbie Harry,19100000
Debbie Reynolds,15500000
Debito Arudou,27000
Deborah Lipstadt,496000
Deborah Mayo,18700000
Deborah Porter,17800000
Deborah Zoe Laufer,1410000
Debtor,66400000
Debugging,709000000
Decay,530000000
December,6690000000
Decentralization,41100000
Decision-making,2860000000
Decisions,4380000000
Declan Ganley,4420000
Decolonization,32300000
Deconstruction,95800000
Decorum,15600000
Decoupling,77200000
Deductive reasoning,18100000
Dee Dee Ramone,8550000
Deed,522000000
Deeds,496000000
Deep state,3640000000
Deepak Perwani,270000
Deeyah Khan,9540000
Defamation,163000000
Defense,2050000000
Defense of freedom,253000000
Defiance,75300000
Deficit,847000000
Definitions of abortion,47000000
Deflation,105000000
Dehlia Umunna,13800
Deification,10200000
Deinonychus,2200000
Deism,10600000
Deity,193000000
Delay,3670000000
Delcy Rodríguez,8720000
Delegation,556000000
Delhi,2120000000
Delhi Sultanate,37300000
Delicacy,89600000
Delmore Schwartz,3990000
Delusion,139000000
Demagogue,3440000
Demand,3490000000
Demi Lovato,48800000
Demi Moore,46200000
Democracy and Education,426000000
Democracy and Its Critics,59400000
Democracy in Deficit,15800000
Democratic socialism,26400000
Democratization,50000000
Demographics of India,1600000000
Demographics of Pakistan,13600000
Demonstration,1550000000
Demonstration (protest),75400000
Deng Xiaoping,7470000
Denial,1030000000
Denis Bradley,16000000
Denis Diderot,9660000
Denis Fahey,4450000
Denis Healey,9330000
Denis Mack Smith,7870000
Denis Moncada,9600000
Denis Mukwege,2110000
Denis Noble,15200000
Denis Papin,6130000
Denis Pushilin,333000
Denis Sassou Nguesso,2020000
Denis the Carthusian,607000
Denise Chávez,11100000
Denise Ho,21400000
Denise Richards,66900000
Denise Scott Brown,25800000
Denmark,1800000000
Dennis Chávez,12200000
Dennis Gabor,10800000
Dennis Holme Robertson,8950000
Dennis Kucinich,3770000
Dennis Lehane,4490000
Dennis McKenna,12800000
Dennis Miller,62200000
Dennis Nilsen,7550000
Dennis Potter,17400000
Dennis Prager,6850000
Dennis Ritchie,13000000
Dennis Sciama,138000
Dennis Skinner,10800000
Denomination,159000000
Denominationalism,408000
Dental implant,103000000
Dentistry,922000000
Denys Monastyrsky,74900
Depictions of Muhammad,2650000
Depravity,17300000
Der Angriff,47600000
Derek Abbott,9430000
Derek Barton,11400000
Derek Boateng,6840000
Derek Fowlds,232000
Derek Hitchins,9100000
Derek Humphry,7540000
Derek Jackson,39100000
Derek Jeter,11300000
Derek Mahon,7010000
Derek Malcolm,12100000
Derek Owusu,4580000
Derek Parfit,510000
Derek Raymond,17400000
Derek Thomas,55300000
Derek Yu,16600000
Dermot Healy,3290000
Desert,1350000000
Desiderius Erasmus,1840000
Design,12630000000
Desmond Majekodunmi,2680000
Desmond Morris,8930000
Desmond Tutu,6600000
Despair,136000000
Destiny,651000000
Destiny (video game),161000000
Destruction,1130000000
Detachment,205000000
Determinism,17900000
Detroit,700000000
Devadass Ambrose Mariadoss,647
Developing country,1160000000
Devesh Kapur,2060000
Deviance,26100000
Devil,1100000000
Devil May Cry: The Animated Series,41500000
Devin Hester,7990000
Devlet Bahçeli,14600000
Devyani Khobragade,156000
Dew,217000000
Dexter S. Kimball,4460000
Dhammapada,3140000
Dhanush,28600000
Dhar iron pillar,1310000
Dharma,171000000
Dharma Raja,17400000
Dharmachakra,1160000
Dhimmi,888000
Dhirubhai Ambani,2100000
Dhoruba al-Mujahid bin Wahad,2760
Dhul-Nun al-Misri,21000
Diadochos of Photiki,6190
Diagram,4550000000
Dialectic of Enlightenment,6770000
Diamond Sutra,12800000
Diana Evans,36800000
Diana Gabaldon,7920000
Diana Ross,44100000
Diana Wynne Jones,8190000
"Diana, Princess of Wales",19700000
Diane Abbott,11600000
Diane Ackerman,7760000
Diane Karusisi,21300
Diane Sawyer,11200000
Dianne Bevelander,3100000
Dianne Feinstein,9180000
Diarmaid Ferriter,190000
Diary,1240000000
Diary of an Oxygen Thief,4910000
Dick Armey,8230000
Dick Cavett,7390000
Dick Cheney,9910000
Dick Durbin,7770000
Dick Gephardt,687000
Dick Gregory,18500000
Dick Higgins,12600000
Dick King-Smith,42000000
Dick Morris,34800000
Dick Stuart,16900000
Dictatorship,166000000
Dictatorship of the proletariat,1230000
Didache,907000
Didier Sornette,291000
Diederik Aerts,2260000
Diego Maradona,34800000
Diego Rivera,64600000
Diego Velázquez,19500000
Diet,3510000000
Dietary deficiency,361000000
Dieter Rams,8200000
Dietrich Bonhoeffer,6350000
Different,22810000000
Differential calculus,55200000
Differential equation,251000000
Differential geometry,161000000
Differential topology,30700000
Difficulties,2840000000
Digby Jones,8770000
Dignitatis humanae,529000
Dignity,315000000
Digvijay Singh,3750000
Dileeni Daniel-Selvaratnam,16400
Dilgo Khyentse,415000
Diligence,288000000
Dilma Rousseff,10600000
Dimitrije Tucović,128000
Dimples,111000000
Dina Boluarte,14800000
Dinah Craik,6070000
Dinah Shore,9190000
Dinanath Batra,104000
Dineo Langa,134000
Dineo Ranaka,155000
Dinesh D'Souza,6370000
Dingane,136000
Dingiri Banda Wijetunga,8960
Dinner,2860000000
Dinosauria,2600000
Dinu Lipatti,422000
Dio Chrysostom,5380000
Diodorus Siculus,654000
Diogenes Laërtius,488000
Dion Boucicault,3440000
Dionysios Solomos,389000
Dionysius I of Syracuse,4630000
Diphilus,139000
Dipika Kakar,5880000
Direct Action Day,2100000000
Direct action,3400000000
Direct democracy,143000000
Director (business),2150000000
Disability,2240000000
Disability justice,250000000
Disappearance,282000000
Disappointment,384000000
Disarmament,13300000
Disaster,1300000000
Disc jockey,2400000000
Discontent,50900000
Discord,1270000000
Discourse on Inequality,29300000
Discourse on the Method,165000000
Discovery (law),690000000
Discretion,381000000
Discrimination,1340000000
Disease X,2200000000
Disenchantment,16800000
Disgrace,122000000
Disgust,380000000
Disinformation,67000000
Disneyland,347000000
Disposition,1160000000
Dissent,98900000
Dissoi logoi,61400
Distance,4340000000
Distraction,814000000
Distrust,72000000
Dita Von Teese,6650000
Dithiane,194000
Diversity,4370000000
Divide and rule,477000000
Divination,46700000
Divine Comedy,36400000
Divinity,87100000
Divorce,1180000000
Divorce in Islam,77800000
Divya Dwivedi,5740000
Divya S. Iyer,1670000
Dixy Lee Ray,523000
Dizzy Dean,8030000
Django Wexler,5060000
Djuna Barnes,8080000
Dmae Roberts,493000
Dmitri Bilenkin,5710
Dmitri Mendeleev,569000
Dmitri Shostakovich,2400000
Dmitri Volkogonov,94100
Dmitriy Ustinov,128000
Dmitry Medvedev,6140000
Dmitry Muratov,3540000
Dmitry Pietrman,65
Dmitry Sablin,4900000
Dmitry Yazov,30000
Dmytro Kuleba,1800000
Do you love me,12400000000
Doctor Strange,531000000
Doctrine,356000000
Doctrine of proportion (mathematics),6570000
Dogma,87500000
Dogs,5010000000
Doina Ruști,8920000
Dokyo Etan,1340
Doll,1400000000
Dollar,3180000000
Dolly Parton,59300000
Dolores Huerta,14900000
Dolores O'Riordan,2180000
Dolores Prida,4890000
Dolph Lundgren,9930000
Dolphins,509000000
Domestic industry,753000000
Domination,889000000
Dominic Cummings,10500000
Dominic Raab,5900000
Dominic Savio,9780000
Dominick LaCapra,525000
Dominikus Saku,19100
Dominique Bourg,12700000
Dominique Morisseau,1970000
Don Arden,26900000
Don Bluth,7930000
Don Cheadle,10300000
Don Cherry,504000000
Don DeLillo,9090000
Don Herold,30500000
Don Imus,8360000
Don Johnson,879000000
Don Lee (author),270000000
Don Lemon,543000000
Don Marquis,26500000
Don McKay,32800000
Don Paterson,19600000
Don Siegel,22400000
Don Stark,149000000
Don Tapscott,7790000
Don Tregonning,64100
Don W. Wilson,240000000
Don Willett,8600000
Don Young,6090000000
"Don't ask, don't tell",5600000000
Donald Barr,13800000
Donald Barthelme,3060000
Donald Davidson (philosopher),7330000
Donald Davidson (poet),8170000
Donald E. Westlake,5630000
Donald Francis Hanchon,136000
Donald H. Liles,2000000
Donald Hall,223000000
Donald James,317000000
Donald Knuth,9200000
Donald Kuspit,736000
Donald M. MacKinnon,4870000
Donald Malarkey,4470000
Donald Moggridge,349000
Donald Norman,199000000
Donald Phillip Verene,2680000
Donald Rumsfeld,8470000
Donald Schön,15400000
Donald Tovey,6750000
Donald Trump Jr.,105000000
Donald Tsang,8370000
Donald Tusk,16800000
Donald Vroon,5350000
Donaldo Macedo,5550000
Donatella Versace,7880000
Donations,4900000000
Donella Meadows,7020000
Dong Fuxiang,425000
Donkeys,210000000
Donna Adja,7870000
Donna Brazile,2890000
Donna Haraway,4580000
Donna Strickland,10600000
Donna Tartt,5290000
Donovan,172000000
Door,4620000000
Dora Akunyili,235000
Dora Greenwell,7080000
Dora Read Goodale,1100000
Dora Russell,12500000
Doraemon,223000000
Dorcas Makgato-Malesu,3440
Doreen Mantle,2970000
Doris Day,71100000
Doris Haddock,7890000
Doris Lessing,6710000
Doron Zeilberger,59600
Dorothea Lange,9830000
Dorothy A. Atabong,6860000
Dorothy Allison,11500000
Dorothy Day,121000000
Dorothy L. Sayers,4670000
Dorothy Lamour,7190000
Dorothy Njeuma,4300000
Dorothy Parker,15800000
Dorothy Ripley,7140000
Dorothy Thompson,14200000
Dorothée Munyaneza,3850000
Dorrie O’Brien,722000
Dottie West,6600000
Doug Dorst,3570000
Doug Ford,49500000
Doug McIlroy,3860000
Doughnut,119000000
Douglas Adams,49200000
Douglas Applegate,8260000
Douglas Bader,9140000
Douglas Coupland,5300000
Douglas Crockford,2940000
Douglas Davies,31400000
Douglas Engelbart,5040000
Douglas Fraser,20800000
Douglas Hofstadter,1380000
Douglas Huebler,2440000
Douglas John Foskett,1180000
Douglas Lute,8050000
Douglas MacArthur,9490000
Douglas Mawson,5360000
Douglas McGregor,10300000
Douglas Murray,38500000
Douglas P. Fry,11700000
Douglas Ross (Scottish politician),5540000
Douglas T. Ross,38700000
Douglas William Jerrold,3880000
Douglass North,12500000
Dov Weisglass,13800
Doves,1780000000
Down syndrome,15790000000
Doyu,599000
Dr. Dobb's Journal,5970000
Dr. Dre,240000000
Dr. John,2090000000
Dr. Mpho Pheko,29900
Dr. Seuss,53200000
Dragon Quest IX,10900000
Dragon's Dogma,20800000
Dragons,1970000000
Drake (entertainer),4100000
Drapetomania,108000
Draupadi,12700000
Dražen Bušić,950000
Dražen Petrović,7880000
Dreams,3980000000
Dreams from My Father,680000000
Dred Scott v. Sandford,1010000
Drew Barrymore,51300000
Drew Carey,19000000
Drew Gilpin Faust,1690000
Dries Van Langenhove,244000
Drink,5840000000
Drones,883000000
Drum,1050000000
Drunkenness,11300000
Du Fu,248000000
Du Wenxiu,3220000
Dua Lipa,102000000
Dualism,17000000
Duarte Barbosa,19500000
Dublin,720000000
Dud Dudley,3190000
Dudeism,220000
Dudley Carew,7150000
Dudley Moore,12200000
Due process,4610000000
Duels,320000000
Dugald Stewart,2410000
Duke Ellington,11900000
Duncan Gregory,21500000
Dunce,6770000
Dungeon,437000000
Dungeons & Dragons,535000000
Duo Duo,1670000000
Dushantha Lakshman Rodrigo,1980
Dust,801000000
Dustin Hoffman,14000000
Dutch Schultz,10400000
Dutch people,2960000000
Dwayne Johnson,467000000
Dwight D. Eisenhower,12700000
Dwight L. Moody,5420000
Dwight Macdonald,7260000
Dwight Morrow,8240000
Dwight Waldo,10900000
Dyanne Thorne,2070000
Dylan Thomas,53600000
Dystopia (book),14300000
Dzodzi Tsikata,61900
Déformation professionnelle,1580000
Déjà vu,234000000
Dōgen,9690000
E (mathematical constant),165000000
E. B. White,743000000
E. F. Benson,10900000
E. F. Codd,860000
E. F. Schumacher,6180000
E. Franklin Frazier,6440000
E. H. Carr,10400000
E. L. Doctorow,1630000
E. L. James,1390000000
E. M. Forster,16800000
E. O. Wilson,39700000
E. T. A. Hoffmann,6180000
E. W. Hobson,7660000
E. W. Howe,7860000
EPR paradox,1320000
Eagle Woman,257000000
Eagles,1290000000
Eamon Gilmore,3730000
Eanna,9090000
Earl Butz,4480000
Earl Holliman,2250000
Earl Warren,17500000
Earle Brown,26000000
Earnest V. Starr,3620000
Earnestness,4190000
Earth,4990000000
Earth (historical chemistry),634000000
Eartha Kitt,5960000
Earthlings (film),2030000
East Germany,1290000000
East of Eden (novel),25300000
East wind,645000000
East/Central Europe,954000000
Easter,1520000000
Easton Taylor-Farrell,6140000
Eating,7190000000
Eazy-E,22200000
Eccentricity,21100000
Ecclesiastes,17800000
Ecclesiasticus,991000
Ecclesiology,4340000
Echo,1310000000
Eckhart Tolle,9880000
Eco-socialism,6100000
Ecocide,1370000
Ecological economics,276000000
Ecology,1080000000
Econometrics,117000000
Economic growth,1490000000
Economic history,2250000000
Economic liberalism,321000000
Economic model,2240000000
Economic system,2770000000
Economics textbook,362000000
Economist,510000000
Economy and Society,871000000
Economy of China,1480000000
Economy of India,2450000000
Economy of the United States,2600000000
Ecosystem,940000000
Ed Byrne,45600000
Ed Colligan,5150000
Ed Gillespie,13300000
Ed Harcourt,21300000
Ed Koch,53700000
Ed Miliband,1900000
Ed Wynn,12700000
Ed Yourdon,886000
Eddie Cantor,7480000
Eddie Griffin,14000000
Eddie Izzard,4340000
Eddie Jones,68900000
Eddie Mair,8380000
Eddie Money,68000000
Eddie Murphy,36500000
Eddie Van Halen,11900000
Eden ahbez,157000
Edgar Allan Poe,30600000
Edgar Bergen,11000000
"Edgar Bronfman, Sr.",544000
Edgar Froese,3100000
Edgar Guest,20400000
Edgar H. Schein,2840000
Edgar Huff,9560000
Edgar Lawrence Smith,17100000
Edgar Lee Masters,12700000
Edgar Pangborn,3000000
Edgar Rice Burroughs,6840000
Edgar Steele,10600000
Edgar Wallace,17400000
Edgard Varèse,484000
Edi Rama,9360000
Edi Rock,19700000
Edie Sedgwick,5250000
Edison Rijna,120000
Edite Tenjua,3570
Edith Cavell,4580000
Edith Wharton,7630000
Editorial cartoon,725000000
Edmond Halley,6180000
Edmond Rostand,5760000
Edmond Thieffry,92500
Edmonia Lewis,2390000
Edmund Burke,12700000
Edmund Charles Blunden,895000
Edmund Clarence Stedman,3930000
Edmund Clerihew Bentley,80800
Edmund Dene Morel,1330000
Edmund Gosse,4840000
Edmund Hillary,18800000
Edmund Husserl,4170000
Edmund Landau,6980000
Edmund Phelps,10900000
Edmund Sears,7120000
Edmund Spenser,9320000
Edmund Waller,7320000
Edmund White,54300000
Edmund Wilson,14600000
Edmund de Waal,2300000
Edmundo Madarang Abaya,29200
Edna O'Brien,6500000
Edoardo Menichelli,1120000
Edson Raff,2660000
Eduard Hanslick,411000
Eduard Heger,6630000
Eduard Jan Dijksterhuis,132000
Eduard Röer,3660000
Eduard Shevardnadze,220000
Eduardo Galeano,10400000
Eduardo Machado,32900000
Eduardo Sánchez (director),76700000
Eduardo Torroja,1190000
Eduardo de Castro,73500000
Education in India,6380000000
Education in West Bengal,192000000
Education in the United States,3610000000
Edvige Carboni,4550000
Edvin Kanka Cudic,745
Edward Abbey,22600000
Edward Albee,7470000
Edward Andrade,13100000
Edward B. Titchener,2100000
Edward Bellamy,12600000
Edward Bernays,6820000
Edward Bickersteth (bishop of Exeter),752000
Edward Bouverie Pusey,737000
Edward Bulwer-Lytton,5200000
Edward C. Lawson,13200000
Edward Cadbury,5810000
Edward Carpenter,30200000
Edward Chamberlayne,5220000
Edward Charles Malesic,560000
Edward Coke,16300000
Edward Coote Pinkney,481000
Edward Dorr Griffin,2040000
Edward Elgar,18700000
Edward Everett,17800000
Edward Everett Hale,7260000
Edward Fairfax,12100000
Edward FitzGerald (poet),6050000
Edward Frenkel,8390000
Edward G. Robinson,42500000
Edward Gibbon,16100000
"Edward Grey, 1st Viscount Grey of Fallodon",158000
Edward Hall Alderson,3040000
"Edward Herbert, 1st Baron Herbert of Cherbury",163000
Edward Hirsch,17200000
Edward Ihnatowicz,72800
Edward James Olmos,3180000
Edward Jenks,5330000
Edward Jenner,15500000
Edward Kolb,5980000
"Edward Law, 1st Baron Ellenborough",127000
Edward Lear,8670000
Edward Leigh,20000000
Edward Luce,12500000
Edward Lucie-Smith,7620000
Edward Luttwak,700000
Edward M. Lerner,6420000
"Edward Macnaghten, Baron Macnaghten",302000
Edward McKendree Bounds,1020000
Edward Moore,143000000
Edward Norris Kirk,7760000
Edward Payson,10100000
"Edward Plunkett, 18th Baron of Dunsany",1090000
Edward R. Murrow,2370000
Edward Ruscha,4270000
Edward Rutledge,9860000
Edward S. Mason,31400000
Edward Said,268000000
Edward Sapir,8720000
Edward Schillebeeckx,5300000
Edward Smith (physician),12600000
Edward Snowden,12800000
Edward Steichen,6450000
Edward T. Hall,1270000000
Edward Taylor,177000000
Edward Teller,30600000
Edward Thomas (poet),24600000
Edward Thomson,91100000
"Edward Thurlow, 1st Baron Thurlow",1390000
Edward V. Berard,7340000
Edward VI of England,38500000
Edward VIII of the United Kingdom,17200000
Edward W. Hardy,18800000
Edward Whittemore,3290000
Edward Witten,9700000
Edward Yashinsky,77800
Edward Young,389000000
Edward de Bono,9720000
Edwin Abbott Abbott,8440000
Edwin Arlington Robinson,5700000
Edwin Arthur Burtt,917000
Edwin Atherstone,368000
Edwin Boring,7980000
Edwin Grant Conklin,2290000
Edwin H. Land,19700000
Edwin Howard Armstrong,10800000
Edwin Hubbell Chapin,2260000
Edwin Hubble,8630000
Edwin Lefèvre,4900000
Edwin Lutyens,1700000
Edwin M. Stanton,6340000
Edwin Markham,12600000
Edwin Muir,10400000
Edwin Percy Whipple,2920000
Edwin Thompson Jaynes,5170000
Edwin van der Sar,5890000
Edwina Currie,5420000
Effectiveness,2050000000
Effeminacy,410000
Effort,4030000000
Egalitarianism,4030000
Egan O'Rahilly,229000
Eggs,3280000000
Egil's saga,1370000
Egils Levits,3580000
Egon Friedell,3720000
Egotism,5080000
Egypt,2750000000
Ehud Barak,7330000
Ehud Olmert,938000
Ehyeh Asher Ehyeh,108000
Eileen Chang,14000000
Eileen Gu,8360000
Eino Leino,1830000
Eitan Bernath,6820000
Ekaterina Kotrikadze,17200
Ekrem İmamoğlu,8240000
Ekta Kapoor,11800000
Ekur,557000
El Lissitsky,45900
"El Paso, Texas",260000000
El Salvador,1270000000
Elagabalus,1570000
Elaine Brown,96500000
Elaine Dundy,153000
Elaine Gannon,5420000
Elaine Goodale Eastman,883000
Elaine Romero,9570000
Elaine de Kooning,1010000
Elam,19400000
Elbert Hubbard,7770000
Eldridge Cleaver,5230000
Eleanor Clark,14700000
Eleanor Farjeon,1350000
Eleanor Holmes Norton,6700000
Eleanor Roosevelt,17800000
Elections in the United Kingdom,238000000
Electric Light Orchestra,23500000
Electric vehicles,1410000000
Electrical engineering,1440000000
Electrical telegraph,28800000
Electricity,5360000000
Electromagnetism,336000000
Electron,675000000
Electron shell,113000000
Electronic business,10520000000
Eleftherios Venizelos,5420000
Elena Efimovna Kuzmina,2640
Elena Kagan,6740000
Elephants,701000000
Eli S. Ricker,1020000
Eli Siegel,6690000
Elia Kazan,4920000
Elias Canetti,1480000
Elias Hiam Lindo,301000
Elias Lyman Magoon,837000
Elie Bechara Haddad,150000
Elie Munk,2340000
Elie Wiesel,8430000
Eliezer Yudkowsky,445000
Elif Shafak,1500000
Elijah,115000000
Elijah Cummings,7270000
Elijah Fenton,6780000
Elijah Haahr,1790000
Elijah Wood,23200000
Elimination reaction,144000000
Eliminative materialism,116000
Elinor Glyn,8540000
Elinor Wylie,2510000
Eliot A. Cohen,10300000
Eliot Higgins,7070000
Eliphas Levi,1620000
Elisabeth Kübler-Ross,2090000
Elisabeth Tova Bailey,864000
Elise Stefanik,3750000
Eliseo Vivas,5460000
Elisha Gray,21200000
Elite,1630000000
Eliud Kipchoge,3820000
Eliyahu M. Goldratt,884000
Eliza Acton,8960000
Eliza Dushku,3360000
Eliza Farnham,3470000
Eliza Lynn Linton,2580000
Elizabeth Acevedo,10100000
Elizabeth Ann Scarborough,10800000
Elizabeth Barrett Browning,6360000
Elizabeth Bear,99300000
Elizabeth Benger,3010000
Elizabeth Bibesco,454000
Elizabeth Bisland Whetmore,135000
Elizabeth Blackwell,15600000
Elizabeth Bowen,15100000
Elizabeth Bowes-Lyon,3130000
Elizabeth Curtis Sittenfeld,519000
Elizabeth Drew Stoddard,3820000
Elizabeth Falkner,5630000
Elizabeth Freeman,34500000
Elizabeth Gaskell,9010000
Elizabeth Gilbert,52500000
Elizabeth Goudge,4840000
Elizabeth Hand,492000000
Elizabeth Hardwick,11100000
Elizabeth Haydon,6110000
Elizabeth I of England,284000000
Elizabeth II,499000000
Elizabeth Kolbert,803000
Elizabeth Kostova,784000
Elizabeth Martinez,86800000
Elizabeth Nyamayaro,94300
Elizabeth Olsen,59600000
Elizabeth Poe,13000000
Elizabeth Prentiss,10200000
Elizabeth Stuart Phelps Ward,5130000
Elizabeth Taylor,215000000
Elizabeth Warren,78900000
Elizabeth Willing Powel,199000
Elizabeth of the Trinity,22700000
Ella Baker,25700000
Ella Enchanted,6130000
Ella Wheeler Wilcox,4780000
Ella Woodward,7140000
Ellen Clementine Howarth,855000
Ellen DeGeneres,41300000
Ellen G. White,113000000
Ellen Goodman,13500000
Ellen Grigsby,4040000
Ellen Johnson Sirleaf,1700000
Ellen Kushner,3880000
Ellen Stewart,22700000
Ellen Terry,23600000
Elleston Trevor,913000
Ellie Goulding,26700000
Elliot Page,102000000
Elliot Rodger,10200000
Elliott Smith,83800000
Ellipse,107000000
Elliptic curve,17200000
Ellsworth Kelly,9850000
Ellsworth Wareham,4980000
Elmore Leonard,9080000
Eloisa to Abelard,1270000
Elon Musk,320000000
Eloquence,52900000
Elsa Gidlow,1010000
Elton John,80600000
Elton Mayo,8610000
Elvis Costello,10800000
Elysium,24900000
Emacs,20000000
Emancipation,91900000
Emanuel Lasker,4630000
Emanuel Shinwell,56200
Emanuel Swedenborg,5860000
Emanuel Tov,5210000
Embryo,235000000
Emergence,1210000000
Emergency Economic Stabilization Act of 2008,5430000
Emerson String Quartet,5510000
Emesh,190000
Emigration,116000000
Emil Aloysius Wcela,65300
Emil Gilels,485000
Emil Zátopek,445000
Emil du Bois-Reymond,546000
"Emile, or On Education",24200000
Emilia Lanier,3170000
Emiliano Zapata,18400000
Emilio De Bono,9150000
Emilio Gentile,8070000
Emilio Insolera,43500
Emilio Massera,335000
Emily Blue,801000000
Emily Blunt,39900000
Emily Brontë,12300000
Emily Dickinson,15400000
Emily Hahn,12600000
Emily Prager,5200000
Emily St. John Mandel,6370000
Eminem,101000000
Emir Kusturica,1430000
Emlyn Williams,7110000
Emma (novel),324000000
Emma Barnett,10200000
Emma Donoghue,11200000
Emma Goldman,12400000
Emma Lazarus,8460000
Emma Miloyo,6510
Emma Newman,15400000
Emma Nyra,2570000
Emma Roberts,175000000
Emma Smith,154000000
Emma Stone,122000000
Emma Wareus,21700
Emma Watson,91400000
Emmanuel Agyemang-Badu,304000
Emmanuel Amunike,128000
Emmanuel Emenike,4900000
Emmanuel Levinas,3890000
Emmanuel Tumusiime-Mutebile,65700
Emmerson Mnangagwa,4440000
Emmy Noether,1060000
Emo Philips,8650000
Emomali Rahmon,1870000
Emotions,1650000000
Empathy,448000000
Emperor Taizong of Tang,233000
Empire,1770000000
Empirical knowledge,373000000
Empiricism,10900000
Employee engagement,772000000
Employment,2450000000
Emtithal Mahmoud,21600
Enclosure,213000000
End,15440000000
Enda Kenny,3560000
Ender's Game,34200000
Ender's Shadow,9390000
Endless Legend,52000000
Enemies,1320000000
Energy,7930000000
Energy system,3410000000
Engineering,3490000000
Engineering ethics,679000000
England,4210000000
English language,13930000000
English people,11440000000
Enheduanna,285000
Enjoyment,281000000
Enlil,11900000
Enmerkar,101000
Enmerkar and En-suhgir-ana,2960
Enmerkar and the Lord of Aratta,18800
Enni,19500000
Ennius,1440000
Enoch Crowder,3070000
Enol,9780000
Enrico Bombieri,155000
Enrico Fermi,9580000
Enrique Esteban Delgado,11600000
Enrique Vila-Matas,7990000
Enten,68900000
Enterprise architecture,561000000
Enterprise engineering,912000000
Enthusiasm,445000000
Entomology,64200000
Entrepreneurs,1630000000
Entropy (thermodynamics),29000000
Environment of India,1430000000
Environmentalism,67200000
Enya,22000000
Enzo Ferrari,22500000
Eoghan Harris,4400000
Epeli Nailatikau,104000
Epes Sargent,2860000
Ephrem the Syrian,570000
Epic of evolution,55900000
Epicharmus of Kos,5910
Epictetus,5490000
Epicurus,3430000
Epigrams,5030000
Epiphanius of Salamis,175000
Episiotomy,2480000
Epistemic virtue,4080000
Epistemological anarchism,1320000
Epistemology,72700000
Epistle of James,7780000
Epistle of Jude,5740000
Epistle to Diognetus,157000
Epistle to the Colossians,3750000
Epistle to the Ephesians,5300000
Epistle to the Galatians,5420000
Epistle to the Hebrews,7380000
Epistle to the Philippians,4740000
